File,sbj,Block_nr,Trial_nr,ItemID,word_1,word_2,word_3,picture,filename,marker,condition,constraint,wordorder,presentation_RT,accuracy,accuracy_comments,manual_RT
Exp_EEG2.txt,2,9,192,24,las,artikel,in,krant,newspaper.png,1,structured,c,VOP,560,1,,0.493333333
Exp_EEG2.txt,2,9,193,6,hakte,hout,met,bijl,axe.png,1,structured,c,VOP,650,1,,0.626666667
Exp_EEG2.txt,2,9,194,168,invasie,chocolade,kampioen,auto,car.png,7,unstructured,uc,NO,680,1,,0.640011128
Exp_EEG2.txt,2,9,195,134,beltoon,tekstbericht,batterij,mobieltje,mobile.png,3,unstructured,c,NO,690,2,telefoon,0.653333333
Exp_EEG2.txt,2,9,196,96,leerling,zeurde,om,schaar,scissors08.png,9,structured,uc,SVP,790,1,,0.607084489
Exp_EEG2.txt,2,9,197,52,plakt,pleister,op,wond,wound.png,1,structured,c,VOP,620,1,,0.546666667
Exp_EEG2.txt,2,9,198,44,puppy,kwispelt,met,staart,tail.png,1,structured,c,SVP,810,1,,0.619288504
Exp_EEG2.txt,2,10,199,183,kaas,geld,patrouille,horloge,watch.png,7,unstructured,uc,NO,720,1,,0.666666667
Exp_EEG2.txt,2,10,200,205,atleet,oorbel,kudde,slang ,snake.png,7,unstructured,uc,NO,760,1,,0.608324123
Exp_EEG2.txt,2,10,201,172,zolder,ontstopper,klok,bioscoop,bioscoop.png,7,unstructured,uc,NO,0,1,,0.813333333
Exp_EEG2.txt,2,10,202,8,blad,valt,van,boom,tree.png,1,structured,c,SVP,620,1,,0.546666667
Exp_EEG2.txt,2,10,203,182,omelet,handrem,sonate,gras,grass.png,7,unstructured,uc,NO,740,1,,0.706666667
Exp_EEG2.txt,2,10,204,158,handpalm,duim,pink,vinger,finger.png,3,unstructured,c,NO,800,1,,0.64
Exp_EEG2.txt,2,10,205,17,reed,scooter,zonder,helm,helmet.png,1,structured,c,VOP,600,1,,0.546666667
Exp_EEG2.txt,2,10,206,135,draad,kleermaker,vingerhoed,naald,needle.png,3,unstructured,c,NO,1230,0,pincet,1.066666667
Exp_EEG2.txt,2,10,207,92,meisje,droomde,van,pop,doll.png,9,structured,uc,SVP,0,1,,0.64
Exp_EEG2.txt,2,10,208,218,buffel,koptelefoon,filmfestival,wc,wc2.png,7,unstructured,uc,NO,900,1,,0.853333333
Exp_EEG2.txt,2,10,209,108,peuter,proefde,van,wortel,carrot02.png,9,structured,uc,SVP,710,1,,0.666666667
